"HZ","DB"
1,-80.36
1.498,-72.39
1.995,-68.73
2.493,-57.11
2.99,-51.79
3.488,-42.65
3.985,-20.58
4.483,-56.6
4.98,-38.82
5.477,-39.17
5.975,-40.08
6.472,-39.81
6.97,-39.44
7.467,-39.1
7.965,-38.77
8.462,-38.06
8.96,-36.95
9.457,-35.84
9.955,-34.73
10.45,-33.77
10.95,-32.32
11.45,-30.63
11.95,-28.71
12.44,-27.46
12.94,-29.64
13.44,-28.38
13.94,-26.25
14.43,-24.68
14.93,-23.3
15.43,-22.12
15.93,-20.99
16.42,-20
16.92,-19.08
17.42,-18.17
17.92,-17.2
18.41,-16.17
18.91,-15.29
19.41,-14.43
19.9,-13.26
20.4,-12.24
20.9,-11.19
21.4,-10.08
21.89,-8.868
22.39,-7.641
22.89,-6.161
23.39,-4.215
23.88,-2.37
24.38,0.5156
24.88,3.815
25.38,5.494
25.87,6.092
26.37,3.695
26.87,0.827
27.37,-1.529
27.86,-3.51
28.36,-4.854
28.86,-5.912
29.36,-7.233
29.85,-8.209
30.35,-9.065
30.85,-9.883
31.35,-10.51
31.84,-11.06
32.34,-11.6
32.84,-12.11
33.34,-12.6
33.83,-13.01
34.33,-13.34
34.83,-13.74
35.33,-14.37
35.82,-14.93
36.32,-15.22
36.82,-15.5
37.32,-15.73
37.81,-15.96
38.31,-16.2
38.81,-16.43
39.31,-16.64
39.81,-16.72
40.3,-16.79
40.8,-16.87
41.3,-16.94
41.8,-17.01
42.29,-17.02
42.79,-17.04
43.29,-17.05
43.79,-17.06
44.28,-17.07
44.78,-17.09
45.28,-17.1
45.78,-17.11
46.27,-17.12
46.77,-17.1
47.27,-17.07
47.77,-17.05
48.26,-17.02
48.76,-16.99
49.26,-16.96
49.76,-16.93
50.25,-16.91
50.75,-16.88
51.25,-16.79
51.75,-16.66
52.24,-16.54
52.74,-16.41
53.24,-16.29
53.74,-16.17
54.23,-16.04
54.73,-15.89
55.23,-15.68
55.73,-15.47
56.22,-15.26
56.72,-15.06
57.22,-14.85
57.72,-14.6
58.21,-14.3
58.71,-14
59.21,-13.7
59.71,-13.39
60.2,-13.02
60.7,-12.64
61.2,-12.27
61.7,-11.87
62.19,-11.44
62.69,-11.01
63.19,-10.52
63.69,-9.986
64.18,-9.416
64.68,-8.742
65.18,-8.114
65.68,-7.576
66.17,-6.794
66.67,-5.63
67.17,-4.626
67.67,-3.562
68.16,-2.15
68.66,-0.4989
69.16,1.751
69.66,3.744
70.15,4.698
70.65,6.369
71.15,5.713
71.65,4.088
72.14,2.819
72.64,1.338
73.14,-0.4203
73.64,-1.692
74.13,-3.058
74.63,-4.24
75.13,-5.091
75.63,-6.049
76.12,-6.713
76.62,-7.451
77.12,-8.297
77.62,-8.995
78.11,-9.568
78.61,-10.04
79.11,-10.46
79.61,-10.83
80.1,-11.2
80.6,-11.47
81.1,-11.75
81.6,-12.41
82.09,-13.44
82.59,-14.48
83.09,-14.72
83.59,-12.9
84.08,-13.34
84.58,-13.65
85.08,-13.97
85.58,-14.23
86.07,-14.46
86.57,-14.69
87.07,-14.93
87.57,-15.15
88.06,-15.34
88.56,-15.52
89.06,-15.71
89.56,-15.9
90.05,-16.08
90.55,-16.49
91.05,-17.11
91.55,-17.72
92.04,-18.33
92.54,-18.95
93.04,-19.56
93.54,-20.18
94.03,-19.19
94.53,-18.64
95.03,-19.7
95.53,-19.22
96.02,-19.07
96.52,-18.2
97.02,-17.85
97.52,-17.92
98.01,-18.02
98.51,-18.11
99.01,-18.17
99.51,-18.22
100,-18.28
100.5,-18.34
101,-18.39
101.5,-18.45
102,-18.44
102.5,-18.43
103,-18.42
103.5,-18.41
104,-18.4
104.5,-18.39
105,-18.38
105.5,-18.36
106,-18.35
106.5,-18.34
107,-18.33
107.5,-18.32
108,-18.31
108.5,-18.29
109,-18.28
109.5,-18.26
110,-18.17
110.5,-18.08
110.9,-17.99
111.4,-17.9
111.9,-17.81
112.4,-17.73
112.9,-17.64
113.4,-17.55
113.9,-17.46
114.4,-17.37
114.9,-17.28
115.4,-17.19
115.9,-17.1
116.4,-17.01
116.9,-16.93
117.4,-16.84
117.9,-16.75
118.4,-16.66
118.9,-16.57
119.4,-16.48
119.9,-16.39
120.4,-16.3
120.9,-16.21
121.4,-16.13
121.9,-15.79
122.4,-15.19
122.9,-14.83
123.4,-14.7
123.9,-14.57
124.4,-14.45
124.9,-14.33
125.4,-14.21
125.9,-14.1
126.4,-13.98
126.9,-13.86
127.4,-13.16
127.9,-12.45
128.4,-12.27
128.9,-11.92
129.4,-11.46
129.9,-11
130.4,-10.63
130.8,-10.3
131.3,-10.06
131.8,-9.959
132.3,-9.853
132.8,-9.232
133.3,-7.491
133.8,-6.289
134.3,-6.018
134.8,-6.33
135.3,-5.106
135.8,-2.281
136.3,-2.3
136.8,-2.024
137.3,-0.3604
137.8,0.9751
138.3,2.134
138.8,6.078
139.3,10.98
139.8,12.47
140.3,15.14
140.8,15.61
141.3,9.649
141.8,6.056
142.3,3.099
142.8,1.188
143.3,-0.3143
143.8,-1.861
144.3,-3.327
144.8,-4.508
145.3,-5.092
145.8,-5.494
146.3,-5.92
146.8,-6.345
147.3,-7.637
147.8,-8.711
148.3,-9.341
148.8,-9.722
149.3,-9.922
149.8,-10.18
150.3,-10.54
150.7,-10.9
151.2,-11.25
151.7,-11.61
152.2,-11.94
152.7,-12.13
153.2,-12.32
153.7,-12.5
154.2,-12.69
154.7,-12.91
155.2,-13.12
155.7,-13.33
156.2,-13.55
156.7,-13.76
157.2,-13.97
157.7,-14.19
158.2,-14.47
158.7,-15.01
159.2,-15.78
159.7,-15.96
160.2,-16.11
160.7,-16.21
161.2,-16.31
161.7,-16.41
162.2,-16.48
162.7,-16.44
163.2,-16.4
163.7,-16.36
164.2,-16.32
164.7,-16.28
165.2,-16.23
165.7,-16.19
166.2,-16.15
166.7,-16.11
167.2,-16.07
167.7,-17.41
168.2,-18.77
168.7,-20.13
169.2,-21.49
169.7,-17.02
170.2,-17.73
170.6,-18.05
171.1,-18.37
171.6,-18.66
172.1,-18.68
172.6,-18.7
173.1,-18.72
