"HZ","DB"
1,-28.71
3,-59.05
5,-29.82
7,-43.66
9,-35.51
11,-32.27
13,-26.35
15,-24.56
17,-21.35
19,-15.23
21,-10.87
23,-4.832
25,0.931
27,-0.4541
29,-5.632
31,-8.333
33,-10.49
35,-11.48
37,-15.34
39,-13.07
41,-16.8
43,-16.51
45,-17.8
47,-16.1
49,-14.41
51,-14.94
53,-13.26
55,-14.43
57,-14.82
59,-12.41
61,-11.59
63,-8.913
65,-6.46
67,-5.937
69,1.655
71,4.334
73,1.002
75,-2.412
77,-6.92
79,-9.462
81,-11.26
83,-11.01
85,-11.41
87,-14.6
89,-16.2
91,-16.13
93,-15.56
95,-15.99
97,-14.71
99,-13.28
101,-15.17
103,-16.58
105,-14.43
107,-13.07
109,-14.05
111,-15.87
113,-19.73
115,-15.27
117,-15.25
119,-16.76
121,-18.34
123,-14.59
125,-10.1
127,-11.49
129,-11.06
131,-6.248
133,-7.494
135,-2.96
137,-0.9343
139,10.34
141,11.6
143,2.246
145,-0.6288
147,-1.584
149,-5.723
151,-8.198
153,-10.71
155,-11.61
157,-12.49
159,-17.19
161,-13.06
163,-11.75
165,-15.64
167,-15.18
169,-15.26
171,-14.75
173,-16.68
175,-17.89
177,-13.85
179,-18.99
181,-16.44
183,-16.99
185,-17.91
187,-16.58
189,-17.28
191,-17.43
193,-14.45
195,-16.42
197,-17.21
199,-18.28
201,-16.61
203,-14.87
205,-18.04
207,-15.53
209,-17.91
211,-12.54
213,-11.78
215,-13.61
217,-10.62
219,-13.85
221,-5.497
223,-7.147
225,-3.263
227,-6.282
229,-0.1101
231,4.887
233,11.06
235,0.749
237,0.7342
239,-1.388
241,-5.894
243,-5.822
245,-8.287
247,-7.19
249,-10.51
251,-10.17
253,-12.81
255,-11.41
257,-13.76
259,-14.43
261,-15.52
263,-16.24
265,-16.16
267,-16.72
269,-16.38
271,-16
273,-15.66
275,-19.58
277,-15.77
279,-16.4
281,-17.14
283,-16.99
285,-17.07
287,-16.1
289,-18.87
291,-18.88
293,-17.08
295,-17.78
297,-20.06
299,-18.47
301,-17.02
303,-17.1
305,-23.41
307,-16.84
309,-17.91
311,-12.99
313,-15.77
315,-12.37
317,-14.59
319,-14.82
321,-16.37
323,-12.27
325,-11.57
327,-9.375
329,-10.59
331,-11.65
333,-8.997
335,-11.7
337,-5.604
339,-3.969
341,-7.19
343,1.298
345,7.864
347,15.68
349,6.37
351,4.215
353,-2.15
355,0.1066
357,-9.042
359,-5.272
361,-11.21
363,-9.522
365,-13.63
367,-11.2
369,-12.34
371,-11.98
373,-15.28
375,-17.63
377,-17.38
379,-17.72
381,-15.28
383,-20.4
385,-15.62
387,-20.18
389,-15.4
391,-17.09
393,-16.04
395,-19.03
397,-15.52
399,-20.85
401,-16.66
403,-14.92
405,-22.39
407,-17.11
409,-19.36
411,-18.31
413,-19.54
415,-16.23
417,-15.29
419,-16.71
421,-16.92
423,-15.95
425,-18.34
427,-17.53
429,-18.42
431,-18.94
433,-18.75
435,-16.37
437,-16.46
439,-16.55
441,-15.66
443,-24.31
445,-16.3
447,-14.91
449,-13.57
451,-12.97
453,-12.3
455,-8.975
457,-15.15
459,-8.913
461,-11.56
463,-6.152
465,-7.234
467,-6.801
469,-6.799
471,-7.942
473,-11.36
475,-4.954
477,-2.653
479,0.5205
481,4.006
483,13.21
485,15.27
487,6.581
489,-2.604
491,-3.123
493,-3.064
495,-9.351
497,-6.253
499,-9.835
501,-6.573
503,-13.07
505,-8.439
507,-15.17
509,-13.9
511,-14.25
513,-12.22
515,-15.06
517,-12.96
519,-15.89
521,-13.92
523,-12.93
525,-14.67
527,-16.21
529,-16.59
531,-14.86
533,-13.79
535,-21.05
537,-17.73
539,-19.11
541,-17.76
543,-22.53
545,-17.36
547,-21.68
549,-16.42
551,-25.18
553,-20.02
555,-19.48
557,-17.58
559,-17.23
561,-17.95
563,-18
565,-18.16
567,-22.89
569,-15.79
571,-18.71
573,-16.87
575,-19.35
577,-19.24
579,-18.61
581,-20.31
583,-14.96
585,-23.55
587,-24.59
589,-17.56
591,-16.15
593,-17
595,-17.28
597,-18.33
599,-14.95
601,-15.33
603,-14.93
605,-18.61
607,-15.27
609,-14.76
611,-18.18
613,-18.62
615,-13.65
617,-14.41
619,-10.96
621,-8.422
623,-16.4
625,-13.13
627,-8.593
629,-8.361
631,-7.143
633,-9.536
635,-6.392
637,-0.8559
639,-1.066
641,6.754
643,15.36
645,13.5
647,5.593
649,2.365
651,-0.04222
653,-3.77
655,-4.95
657,-5.878
659,-7.686
661,-8.026
663,-10.97
665,-7.824
667,-10.26
669,-13.15
671,-9.915
673,-17.49
675,-14.74
677,-15.54
679,-18.59
681,-17.42
683,-17.14
685,-15.62
687,-20.17
689,-15.28
691,-21.02
693,-15.67
695,-17.7
697,-18.29
699,-18.29
701,-18.27
703,-17.5
705,-16.89
707,-16.78
709,-19.67
711,-20.4
713,-16.14
715,-17.67
717,-24.5
719,-22.48
721,-20.78
723,-21
725,-18.54
727,-20.42
729,-19.65
731,-32.04
733,-21.36
735,-25.01
737,-22.4
739,-22.27
741,-17.07
743,-16.68
745,-19.32
747,-23.77
749,-20.38
751,-22.86
753,-18.58
755,-17.74
757,-25.77
759,-18.7
761,-17.54
763,-21.26
765,-16.07
767,-17.83
769,-19.29
771,-17.18
773,-15.85
775,-25.77
777,-19.92
779,-15.97
781,-21.09
783,-14.34
785,-14.49
787,-17.7
789,-11.26
791,-14.31
793,-12.98
795,-15.49
797,-14.27
799,-11.88
801,-13.8
