"HZ","DB"
1,-14.9
3,-26.57
5,-27.5
7,-35.91
9,-37.18
11,-37.06
13,-25.28
15,-22.32
17,-23.77
19,-16.24
21,-14.13
23,-6.193
25,0.6529
27,-0.506
29,-7.664
31,-9.676
33,-12.84
35,-16.06
37,-14.69
39,-14.74
41,-17.88
43,-20.5
45,-16.73
47,-16.66
49,-16.54
51,-14.39
53,-16.67
55,-13.67
57,-15.15
59,-13.65
61,-11.59
63,-12.05
65,-9.97
67,-6.543
69,0.3412
71,2.829
73,2.462
75,-5.157
77,-8.029
79,-9.616
81,-12.49
83,-13.29
85,-12.94
87,-14.5
89,-15.99
91,-17.3
93,-15.89
95,-18.85
97,-15.98
99,-19.76
101,-17.27
103,-19.28
105,-19.3
107,-17.19
109,-14.45
111,-18.83
113,-15.79
115,-16.98
117,-16.22
119,-15.34
121,-16.52
123,-18.35
125,-18.94
127,-12.77
129,-10.94
131,-8.618
133,-6.44
135,-4.284
137,0.07587
139,4.31
141,7.665
143,1.753
145,-6.321
147,-8.986
149,-7.915
151,-12.59
153,-10.64
155,-12.68
157,-12.79
159,-12.96
161,-17.76
163,-13.66
165,-18.79
167,-17.41
169,-13.91
171,-17.79
173,-18.13
175,-18.09
177,-18.15
179,-17.78
181,-17.7
183,-17.49
185,-18.72
187,-21.72
189,-24.09
191,-23.71
193,-19.65
195,-17.26
197,-18.53
199,-22.53
201,-17.18
203,-16.57
205,-18.97
207,-17.01
209,-18.92
211,-15.15
213,-18.85
215,-12.46
217,-11.9
219,-10.24
221,-11.61
223,-7.126
225,-8.451
227,-4.08
229,-0.01933
231,6.562
233,10.17
235,4.442
237,-2.094
239,-6.294
241,-6.44
243,-9.397
245,-10.24
247,-10.14
249,-12.9
251,-11.43
253,-13.16
255,-16.2
257,-16.86
259,-17.7
261,-16.85
263,-16.43
265,-16.94
267,-18.26
269,-20.35
271,-18.62
273,-18.6
275,-19.7
277,-20.13
279,-17.55
281,-20.88
283,-18.44
285,-20.14
287,-23.09
289,-19.84
291,-22.65
293,-18.48
295,-24.24
297,-19.51
299,-19.19
301,-17.15
303,-25.79
305,-18.52
307,-18.45
309,-18.71
311,-18.33
313,-15.99
315,-19.25
317,-14.22
319,-18.6
321,-13.8
323,-14.51
325,-13.43
327,-13.83
329,-14.59
331,-11.14
333,-8.958
335,-8.961
337,-9.556
339,-6.522
341,-3.425
343,2.049
345,9.839
347,11.62
349,0.4039
351,-1.769
353,-8.38
355,-5.409
357,-7.341
359,-8.558
361,-14.28
363,-12.38
365,-16.24
367,-14.43
369,-12.13
371,-13.85
373,-14.01
375,-14.66
377,-16.04
379,-16.29
381,-14.58
383,-17.17
385,-22.99
387,-17.99
389,-19.79
391,-20.16
393,-18.29
395,-17.49
397,-23.94
399,-22.14
401,-18.22
403,-18.89
405,-25.01
407,-17.76
409,-22.86
411,-15.94
413,-19.36
415,-20.33
417,-20.36
419,-18.56
421,-23.17
423,-18.98
425,-23.95
427,-22.1
429,-19.14
431,-18.94
433,-23.01
435,-21.49
437,-22.29
439,-21.36
441,-20.29
443,-22.64
445,-16.26
447,-16.13
449,-19.17
451,-20.47
453,-17.05
455,-17.27
457,-16.01
459,-11.73
461,-13.12
463,-18.67
465,-15.93
467,-9.782
469,-13.66
471,-11.59
473,-8.052
475,-1.77
477,-7.246
479,-3.114
481,5.425
483,12.96
485,6.165
487,-0.5555
489,0.2078
491,-2.486
493,-1.802
495,-8.264
497,-12.82
499,-9.752
501,-14.66
503,-15.12
505,-23.22
507,-13.96
509,-16.43
511,-14.21
513,-20.22
515,-19.81
517,-13.32
519,-18.84
521,-17.91
523,-19.54
525,-15.94
527,-17.08
529,-17.45
531,-16.9
533,-19.47
535,-18.38
537,-20.72
539,-18.74
541,-18.35
543,-26.67
545,-18.81
547,-19.02
549,-19.51
551,-23.66
553,-23.55
555,-20.81
557,-24.03
559,-22.75
561,-19.03
563,-20.75
565,-22.51
567,-21.65
569,-18.6
571,-19.3
573,-22.78
575,-21.66
577,-18.82
579,-18.84
581,-21.65
583,-21.31
585,-16.83
587,-19.57
589,-17.68
591,-20.25
593,-20.55
595,-19.8
597,-16.43
599,-17.32
601,-20.36
603,-16.08
605,-18.18
607,-16.8
609,-20.67
611,-18.64
613,-15.75
615,-13.01
617,-12.2
619,-13.6
621,-16.89
623,-10
625,-11.46
627,-14.69
629,-8.914
631,-6.812
633,-9.369
635,-13.23
637,-3.489
639,-1.182
641,8.1
643,14.18
645,9.547
647,-2.556
649,-0.5894
651,-6.672
653,-7.71
655,-9.385
657,-8.467
659,-8.241
661,-12.23
663,-17.42
665,-10.78
667,-10.73
669,-14.68
671,-11.88
673,-15.28
675,-16.43
677,-15.12
679,-19.53
681,-18.22
683,-14.4
685,-20.03
687,-15.6
689,-25.08
691,-19.34
693,-21.94
695,-19.6
697,-17.76
699,-19.96
701,-22.86
703,-18.32
705,-25.03
707,-24.57
709,-18.76
711,-19.81
713,-23.23
715,-15.13
717,-19.39
719,-17.96
721,-21.11
723,-19.64
725,-18.48
727,-21.5
729,-19.8
731,-23.55
733,-22.22
735,-20.96
737,-23.86
739,-19.36
741,-21.99
743,-22.46
745,-21.03
747,-21.67
749,-24.45
751,-21.04
753,-23.57
755,-24.31
757,-20.93
759,-24.08
761,-20.8
763,-20.35
765,-19.35
767,-18.97
769,-18.71
771,-17.97
773,-20.83
775,-19.64
777,-18.89
779,-17.75
781,-15.52
783,-18.1
785,-18.18
787,-16.5
789,-15.51
791,-16.82
793,-16.67
795,-16.47
797,-17.1
799,-14.22
801,-15.6
