C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
0.039,0.0788142,0.075,0.0185112,0.116,0.0032648
0.502,0.10935,0.51,0.0252411,0.518,0.00574209
1.016,0.140722,1.028,0.0331526,1.036,0.00747676
1.502,0.168211,1.514,0.0405132,1.522,0.00891923
2.002,0.187418,2.014,0.0481154,2.022,0.00904039
2.502,0.20075,2.514,0.0560832,2.522,0.00901117
3.002,0.211197,3.014,0.0637032,3.022,0.00943949
3.502,0.219081,3.514,0.0715499,3.522,0.00887719
4.002,0.226159,4.014,0.0789981,4.022,0.0081645
4.502,0.230347,4.514,0.0866203,4.522,0.00791649
5.002,0.234306,5.014,0.0942809,5.022,0.00771907
5.502,0.237703,5.514,0.10219,5.522,0.00730144
6.002,0.241414,6.014,0.109838,6.023,0.00684604
6.502,0.245694,6.514,0.117789,6.522,0.00653175
7.002,0.25085,7.028,0.125411,7.039,0.00670778
7.502,0.255735,7.51,0.132774,7.522,0.00756799
8.002,0.26181,8.01,0.140701,8.022,0.00732639
8.502,0.267892,8.51,0.148321,8.522,0.00732425
9.002,0.273048,9.01,0.155948,9.022,0.00738697
9.502,0.277641,9.51,0.163917,9.522,0.00734064
10.002,0.282847,10.01,0.171594,10.022,0.00770839
10.502,0.287433,10.51,0.178879,10.522,0.00784094
11.002,0.29108,11.01,0.186528,11.022,0.00770197
11.502,0.293472,11.51,0.194461,11.522,0.00737342
12.002,0.297176,12.01,0.202103,12.022,0.00735988
12.502,0.301448,12.51,0.210022,12.522,0.00793858
13.002,0.303934,13.01,0.21767,13.022,0.00743258
13.502,0.307537,13.51,0.225625,13.522,0.00788869
14.002,0.313277,14.01,0.23264,14.022,0.0086028
14.502,0.319195,14.51,0.240602,14.522,0.00862204
15.002,0.325284,15.01,0.248208,15.022,0.00917224
15.502,0.331338,15.51,0.256162,15.522,0.00925847
16.002,0.338096,16.01,0.263775,16.022,0.00981508
16.502,0.345681,16.51,0.271737,16.522,0.0103589
17.002,0.353621,17.01,0.279386,17.022,0.0106161
17.502,0.360016,17.51,0.286685,17.522,0.0110437
18.002,0.367672,18.01,0.294355,18.022,0.0112447
18.502,0.373754,18.51,0.30226,18.522,0.0112077
19.002,0.380113,19.01,0.309916,19.022,0.0113074
19.502,0.386508,19.51,0.317842,19.522,0.0122724
20.002,0.392953,20.01,0.325505,20.022,0.0116773
20.502,0.399064,20.51,0.333168,20.522,0.011755
21.002,0.405445,21.01,0.340489,21.022,0.0119674
21.502,0.410907,21.51,0.348437,21.521,0.0123095
22.002,0.417373,22.01,0.356042,22.021,0.0121769
22.502,0.422864,22.51,0.364011,22.522,0.0118847
23.002,0.427422,23.01,0.371617,23.021,0.0120657
23.502,0.432912,23.51,0.379259,23.521,0.0116852
24.002,0.439322,24.01,0.387221,24.021,0.0123537
24.502,0.444798,24.51,0.394542,24.521,0.0117087
25.002,0.450951,25.01,0.40219,25.022,0.0121391
25.502,0.456143,25.51,0.410123,25.522,0.0115006
26.002,0.461612,26.01,0.417772,26.022,0.0118248
26.502,0.467666,26.51,0.425371,26.522,0.012065
27.002,0.472857,27.01,0.433326,27.022,0.011946
27.502,0.476853,27.51,0.440974,27.522,0.0115925
28.002,0.482044,28.01,0.448309,28.021,0.0117472
28.502,0.487186,28.51,0.456264,28.522,0.0119873
29.002,0.493275,29.01,0.463863,29.021,0.0115676
29.502,0.499449,29.51,0.471518,29.522,0.0124
30.002,0.506108,30.01,0.47948,30.022,0.0122795
30.502,0.513393,30.51,0.487108,30.521,0.0124313
31.002,0.522594,31.01,0.494749,31.021,0.0133079
31.502,0.53203,31.51,0.50207,31.522,0.0132146
32.002,0.543952,32.011,0.510018,32.022,0.0139814
32.502,0.555539,32.51,0.517645,32.521,0.0146278
33.002,0.568977,33.01,0.525592,33.022,0.0152935
33.502,0.582394,33.51,0.533234,33.522,0.0161074
34.002,0.595797,34.01,0.540854,34.023,0.0175441
34.502,0.61041,34.51,0.548809,34.522,0.0181214
35.002,0.62664,35.01,0.556137,35.023,0.0203001
35.502,0.642436,35.51,0.563778,35.522,0.0206065
36.002,0.660432,36.01,0.571705,36.022,0.0212715
36.502,0.679026,36.51,0.579346,36.522,0.0229363
37.002,0.697329,37.01,0.586995,37.022,0.0246881
37.502,0.715375,37.511,0.594935,37.522,0.0259239
38.002,0.735771,38.011,0.602577,38.023,0.0274119
38.502,0.756502,38.51,0.609897,38.522,0.0283156
39.002,0.778757,39.01,0.617532,39.022,0.0301572
39.502,0.800392,39.51,0.625465,39.522,0.0320287
40.002,0.824783,40.01,0.633114,40.022,0.0335154
40.502,0.848883,40.51,0.641083,40.522,0.0359898
41.002,0.872427,41.01,0.648689,41.022,0.0381984
41.502,0.896483,41.51,0.656636,41.522,0.0400065
42.002,0.922691,42.01,0.663665,42.022,0.0422614
42.502,0.948399,42.51,0.67162,42.522,0.0451435
43.002,0.975141,43.01,0.679219,43.022,0.0483071
43.502,1.00205,43.51,0.687174,43.522,0.0500674
44.002,1.0295,44.01,0.694822,44.022,0.0536793
44.502,1.05504,44.51,0.702777,44.522,0.0569612
45.002,1.08315,45.01,0.710347,45.022,0.0603002
45.502,1.10942,45.51,0.717718,45.522,0.063488
46.002,1.13681,46.01,0.725366,46.022,0.0672716
46.502,1.16279,46.51,0.733293,46.522,0.0725384
47.002,1.18811,47.01,0.740941,47.022,0.077123
47.516,1.21027,47.528,0.748896,47.539,0.0831153
48.002,1.23007,48.014,0.756502,48.026,0.0896036
48.502,1.24717,48.514,0.764172,48.526,0.095335
49.002,1.26277,49.014,0.771885,49.026,0.103548
49.502,1.2751,49.514,0.77944,49.525,0.112022
50.002,1.28649,50.014,0.787053,50.041,0.121729
50.502,1.29668,50.514,0.795008,50.522,0.1313
51.002,1.30423,51.014,0.802657,51.022,0.141057
51.502,1.31064,51.514,0.810284,51.522,0.150436
52.002,1.31748,52.014,0.818246,52.022,0.161659
52.502,1.3224,52.514,0.825759,52.522,0.171046
53.002,1.32817,53.014,0.833223,53.022,0.182091
53.502,1.33194,53.514,0.84117,53.522,0.191819
54.002,1.3365,54.014,0.84879,54.022,0.201946
54.502,1.34121,54.514,0.856432,54.522,0.213896
55.002,1.34477,55.014,0.864329,55.022,0.224614
55.502,1.34719,55.514,0.871992,55.522,0.234912
56.002,1.35139,56.014,0.879726,56.022,0.245252
56.502,1.35417,56.514,0.887275,56.522,0.257914
57.002,1.35823,57.014,0.894931,57.022,0.267094
57.502,1.36072,57.514,0.902537,57.522,0.27913
58.002,1.36386,58.014,0.910491,58.022,0.29036
58.502,1.36664,58.514,0.918104,58.522,0.300501
59.002,1.37013,59.014,0.925767,59.022,0.3105
59.502,1.37219,59.514,0.933451,59.522,0.32089
60.002,1.37576,60.014,0.941029,60.022,0.331608
60.502,1.37811,60.514,0.948691,60.522,0.341828
61.002,1.38138,61.014,0.956618,61.022,0.352738
61.502,1.38388,61.514,0.964266,61.522,0.363021
62.002,1.38687,62.014,0.971851,62.022,0.373554
62.502,1.38936,62.514,0.979827,62.522,0.383767
63.002,1.3925,63.014,0.987426,63.022,0.393445
63.502,1.39414,63.514,0.994796,63.522,0.405231
64.002,1.39777,64.014,1.00274,64.022,0.415678
64.502,1.40069,64.514,1.01036,64.522,0.429259
65.002,1.40304,65.014,1.01801,65.022,0.438752
65.502,1.40475,65.514,1.02593,65.522,0.449591
66.002,1.40824,66.014,1.03358,66.022,0.459704
66.502,1.41081,66.514,1.0414,66.522,0.469346
67.002,1.41351,67.014,1.04885,67.022,0.480812
67.502,1.41558,67.514,1.0565,67.522,0.490241
68.002,1.4185,68.015,1.06412,68.023,0.502291
68.502,1.42092,68.514,1.07209,68.523,0.511841
69.002,1.42356,69.014,1.0797,69.022,0.523014
69.502,1.42527,69.514,1.08766,69.522,0.532614
70.002,1.42833,70.014,1.09524,70.023,0.54324
70.502,1.43075,70.514,1.10262,70.522,0.552676
71.002,1.43317,71.014,1.11029,71.022,0.563372
71.502,1.43531,71.514,1.11821,71.522,0.575493
72.002,1.43802,72.014,1.12585,72.022,0.585755
72.502,1.43994,72.514,1.13379,72.522,0.596245
73.002,1.44322,73.014,1.14142,73.022,0.60675
73.502,1.44443,73.514,1.14894,73.522,0.617062
74.002,1.44749,74.014,1.15638,74.022,0.627125
74.502,1.44992,74.514,1.16434,74.522,0.63812
75.002,1.45255,75.014,1.17197,75.022,0.648418
75.502,1.45412,75.514,1.1799,75.522,0.658523
76.002,1.45668,76.014,1.18751,76.022,0.669818
76.502,1.45854,76.514,1.19517,76.522,0.678934
77.002,1.4616,77.028,1.20315,77.039,0.690314
77.502,1.46267,77.51,1.21034,77.522,0.700128
78.002,1.46566,78.01,1.21818,78.022,0.711394
78.502,1.46801,78.51,1.22601,78.522,0.721357
79.002,1.46986,79.01,1.23371,79.022,0.732367
79.502,1.47171,79.51,1.24133,79.522,0.742857
80.002,1.47435,80.01,1.24909,80.023,0.752307
80.502,1.47592,80.51,1.25657,80.522,0.763823
81.002,1.47862,81.01,1.2642,81.022,0.773594
81.502,1.48055,81.51,1.27218,81.522,0.784646
82.002,1.48226,82.01,1.2798,82.022,0.793854
82.502,1.48475,82.51,1.28742,82.522,0.805249
83.002,1.48696,83.01,1.2954,83.022,0.815739
83.502,1.48774,83.51,1.30288,83.522,0.826792
84.002,1.49081,84.01,1.31029,84.022,0.836064
84.502,1.49223,84.51,1.31834,84.522,0.847323
85.002,1.49458,85.01,1.32589,85.022,0.857835
85.502,1.49608,85.51,1.33351,85.522,0.867584
86.002,1.49857,86.01,1.34149,86.022,0.878359
86.502,1.50007,86.51,1.34918,86.522,0.889483
87.002,1.50242,87.01,1.35666,87.022,0.900607
87.502,1.50334,87.51,1.3645,87.522,0.91062
88.002,1.50591,88.01,1.37205,88.022,0.921722
88.502,1.50776,88.51,1.37975,88.522,0.931393
89.002,1.50947,89.01,1.38758,89.022,0.942375
