C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
0.039,0.0445812,0.075,0.0682523,0.117,-0.00445926
0.502,0.0445862,0.51,0.0682523,0.518,-0.00406728
1.002,0.0442883,1.01,0.0682523,1.018,-0.00393544
1.502,0.0442876,1.51,0.0682608,1.518,-0.00421338
2.002,0.044294,2.01,0.0682573,2.018,-0.00462246
2.502,0.0476971,2.51,0.0151381,2.518,-0.00434452
3.002,0.0482943,3.01,0.0226933,3.018,-0.00469302
3.502,0.0485893,3.51,0.0301087,3.518,-0.00450416
4.002,0.0485986,4.01,0.0377266,4.018,-0.00438942
4.502,0.048595,4.51,0.0456866,4.518,-0.00429392
5.002,0.052884,5.01,0.0532952,5.018,-0.00434951
5.502,0.068945,5.51,0.0612666,5.518,-0.00413356
6.002,0.073891,6.01,0.0689072,6.019,-0.00456901
6.502,0.0806416,6.51,0.0767075,6.518,-0.00402595
7.002,0.0916354,7.01,0.0838722,7.019,-0.00442078
7.502,0.109043,7.51,0.0917894,7.518,-0.00346293
8.002,0.118789,8.01,0.0994429,8.018,-0.00375442
8.516,0.126985,8.527,0.107679,8.535,-0.00377366
9.002,0.133145,9.013,0.115019,9.021,-0.003939
9.502,0.139846,9.528,0.122954,9.539,-0.00361402
10.002,0.146198,10.01,0.130446,10.021,-0.00435806
10.502,0.151995,10.51,0.13793,10.522,-0.00449632
11.002,0.159644,11.01,0.145558,11.021,-0.00449703
11.502,0.170611,11.51,0.153491,11.521,-0.00457115
12.002,0.179456,12.01,0.161111,12.021,-0.00472652
12.502,0.187881,12.51,0.168795,12.522,-0.00449347
13.002,0.194668,13.01,0.176743,13.022,-0.00449133
13.502,0.201476,13.51,0.18427,13.521,-0.00410292
14.002,0.209046,14.01,0.191705,14.021,-0.00390337
14.502,0.216089,14.51,0.199617,14.522,-0.00387344
15.002,0.221879,15.01,0.207287,15.021,-0.00367032
15.502,0.228239,15.51,0.215199,15.521,-0.00349001
16.002,0.233395,16.01,0.222848,16.021,-0.00291986
16.502,0.239498,16.51,0.230496,16.521,-0.00268682
17.002,0.246007,17.01,0.23823,17.021,-0.00250936
17.502,0.25085,17.51,0.245786,17.521,-0.00240388
18.002,0.255443,18.01,0.253399,18.021,-0.00212023
18.502,0.260314,18.51,0.261048,18.522,-0.00213662
19.002,0.264509,19.01,0.268953,19.022,-0.0018601
19.502,0.26958,19.51,0.276608,19.521,-0.00189645
20.002,0.273354,20.01,0.28457,20.021,-0.00198197
20.502,0.277043,20.51,0.292084,20.522,-0.00199836
21.002,0.282569,21.01,0.299554,21.022,-0.00234544
21.502,0.288957,21.51,0.307445,21.521,-0.00227346
22.002,0.295709,22.01,0.315101,22.021,-0.00228843
22.502,0.305458,22.51,0.322721,22.522,-0.00272245
23.002,0.315699,23.01,0.330383,23.021,-0.00267328
23.502,0.326801,23.51,0.338352,23.521,-0.00300396
24.002,0.339314,24.01,0.345859,24.021,-0.00304957
24.502,0.352047,24.51,0.353315,24.522,-0.0031465
25.002,0.367031,25.01,0.361234,25.022,-0.00314507
25.502,0.382043,25.51,0.368904,25.521,-0.00334391
26.002,0.396685,26.01,0.376503,26.021,-0.00349642
26.502,0.412139,26.51,0.384443,26.522,-0.00339095
27.002,0.42864,27.01,0.392113,27.021,-0.00343727
27.502,0.445781,27.51,0.399918,27.521,-0.00325554
28.002,0.464988,28.01,0.407382,28.021,-0.00331113
28.502,0.485406,28.511,0.414995,28.523,-0.0033097
29.002,0.5064,29.01,0.422643,29.021,-0.00308449
29.502,0.529039,29.51,0.430598,29.522,-0.00319068
30.002,0.550867,30.01,0.438225,30.021,-0.00288851
30.502,0.573264,30.51,0.446173,30.522,-0.00313937
31.002,0.599194,31.01,0.453672,31.022,-0.00290205
31.502,0.625365,31.51,0.461128,31.522,-0.00301679
32.002,0.654614,32.01,0.468741,32.021,-0.00293768
32.502,0.683891,32.51,0.47671,32.522,-0.00282223
33.002,0.715396,33.01,0.484359,33.021,-0.00281653
33.502,0.747842,33.51,0.492285,33.521,-0.00255069
34.002,0.780893,34.011,0.499948,34.022,-0.00262125
34.502,0.815063,34.511,0.507717,34.522,-0.00276165
35.002,0.852023,35.011,0.514889,35.022,-0.00271532
35.502,0.892267,35.51,0.522822,35.522,-0.00281795
36.002,0.931322,36.01,0.530478,36.021,-0.00263408
36.502,0.972499,36.51,0.538433,36.521,-0.00246375
37.002,1.01464,37.01,0.546038,37.021,-0.00250722
37.502,1.05788,37.51,0.554015,37.521,-0.00284361
38.002,1.1046,38.01,0.5614,38.021,-0.00260771
38.502,1.1503,38.51,0.568984,38.521,-0.00281653
39.002,1.2,39.01,0.57659,39.022,-0.00262481
39.517,1.24952,39.528,0.58483,39.54,-0.00256994
40.002,1.29875,40.014,0.592193,40.026,-0.00292343
40.502,1.34883,40.514,0.599792,40.525,-0.00277448
41.002,1.40026,41.014,0.607761,41.026,-0.00286784
41.502,1.45248,41.513,0.615374,41.527,-0.0030175
42.002,1.50705,42.013,0.622966,42.025,-0.00255996
42.502,1.56254,42.513,0.630643,42.526,-0.00270178
43.002,1.61754,43.013,0.638305,43.025,-0.00268824
43.502,1.67268,43.513,0.646253,43.525,-0.00276735
44.002,1.72653,44.013,0.653894,44.025,-0.00259987
44.502,1.77861,44.513,0.661543,44.525,-0.00278802
45.002,1.83282,45.013,0.669462,45.025,-0.00280441
45.502,1.88126,45.514,0.67694,45.525,-0.00292984
46.002,1.92579,46.014,0.684432,46.025,-0.00317714
46.502,1.96354,46.514,0.692073,46.525,-0.00319496
47.002,2.00023,47.014,0.700028,47.025,-0.00352636
47.502,2.03592,47.514,0.707648,47.525,-0.00361473
48.002,2.06406,48.014,0.715589,48.025,-0.00387058
48.502,2.0808,48.514,0.723209,48.525,-0.00399815
49.002,2.09847,49.014,0.730829,49.025,-0.00439084
49.502,2.10253,49.514,0.738527,49.525,-0.00446995
50.002,2.10118,50.014,0.74614,50.025,-0.004383
50.502,2.10217,50.514,0.753789,50.525,-0.00445427
51.002,2.09982,51.014,0.761722,51.025,-0.00433169
51.502,2.10118,51.513,0.769371,51.525,-0.00396181
52.002,2.10502,52.013,0.776991,52.025,-0.00389125
52.502,2.10182,52.514,0.784604,52.525,-0.00365963
53.002,2.09484,53.013,0.792288,53.025,-0.00317358
53.502,2.09683,53.514,0.799915,53.525,-0.00354489
54.002,2.09733,54.014,0.807578,54.026,-0.00388626
54.502,2.08992,54.513,0.815476,54.526,-0.00343371
55.002,2.08949,55.013,0.823138,55.025,-0.00185298
55.502,2.087,55.513,0.831072,55.525,-0.00192995
56.002,2.09811,56.013,0.838514,56.025,-0.00207533
56.502,2.10011,56.513,0.84607,56.525,-0.00188291
57.002,2.10068,57.013,0.853975,57.025,-0.0019385
57.502,2.10766,57.513,0.861638,57.525,-0.0020846
58.002,2.10032,58.013,0.86925,58.025,-0.00213876
58.502,2.08536,58.513,0.877212,58.525,-0.00242597
59.002,2.07346,59.013,0.884832,59.025,-0.00261484
59.502,2.07574,59.513,0.892346,59.525,-0.00256352
60.002,2.0694,60.013,0.899809,60.025,-0.00293198
60.502,2.06463,60.513,0.907757,60.525,-0.00286713
61.002,2.06549,61.015,0.915391,61.026,-0.00203899
61.502,2.0672,61.514,0.92331,61.526,-0.00260343
62.002,2.06862,62.013,0.930966,62.025,-0.00328975
62.502,2.07232,62.513,0.938914,62.525,-0.00332752
63.002,2.07653,63.013,0.946113,63.025,-0.00343442
63.502,2.07232,63.513,0.953912,63.525,-0.00322632
64.002,2.07311,64.013,0.961517,64.025,-0.00331184
64.502,2.06314,64.513,0.969458,64.525,-0.00324342
65.002,2.06093,65.013,0.977085,65.026,-0.00339237
65.502,2.06399,65.513,0.985047,65.525,-0.00321492
66.002,2.06591,66.013,0.992674,66.026,-0.00310302
66.502,2.07268,66.513,1.00007,66.525,-0.00302605
67.002,2.08322,67.013,1.00764,67.025,-0.00288494
67.502,2.02353,67.514,1.01557,67.526,-0.00294766
68.002,2.07888,68.014,1.02322,68.026,-0.00294267
68.502,2.12191,68.513,1.03083,68.525,-0.00280298
69.002,2.14335,69.013,1.0388,69.025,-0.00271319
69.502,2.15461,69.513,1.04641,69.525,-0.00263337
70.002,2.16437,70.013,1.05394,70.025,-0.00259844
70.502,2.17163,70.513,1.0617,70.525,-0.00248584
71.002,2.17933,71.013,1.06932,71.026,-0.00283791
71.502,2.18624,71.513,1.07729,71.525,-0.00244949
72.002,2.19229,72.013,1.08489,72.025,-0.00255283
72.502,2.19735,72.513,1.09255,72.525,-0.00274027
73.002,2.20504,73.013,1.10051,73.025,-0.00265189
73.502,2.21039,73.514,1.10792,73.525,-0.0027196
74.002,2.21694,74.015,1.11547,74.026,-0.00249012
74.502,2.22207,74.514,1.12311,74.526,-0.00254357
75.002,2.22805,75.015,1.13105,75.026,-0.00267185
75.502,2.23404,75.513,1.13864,75.525,-0.00322703
76.002,2.23981,76.013,1.14659,76.025,-0.00334391
76.502,2.24365,76.513,1.15426,76.525,-0.00397606
77.002,2.24999,77.013,1.16176,77.025,-0.00416492
77.502,2.25584,77.513,1.16955,77.525,-0.00425258
78.002,2.26032,78.013,1.17714,78.026,-0.00391833
78.502,2.26517,78.513,1.18481,78.525,-0.00424759
79.002,2.27008,79.013,1.19273,79.025,-0.00446425
79.502,2.27543,79.528,1.2003,79.539,-0.00225707
80.002,2.28056,80.01,1.20792,80.022,-0.00210527
80.502,2.2839,80.51,1.2154,80.523,-0.0019891
81.002,2.28932,81.01,1.22323,81.022,-0.00188362
81.502,2.29495,81.51,1.23093,81.522,-0.00235756
82.002,2.29893,82.01,1.23862,82.021,-0.00279443
82.502,2.3025,82.51,1.24653,82.522,-0.00271532
83.002,2.30741,83.01,1.25415,83.021,-0.00303674
83.502,2.3114,83.51,1.26192,83.521,-0.00323416
84.002,2.3166,84.01,1.2694,84.021,-0.00325411
